customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
id7044,Male,0,Yes,No,15,Yes,No,DSL,No internet service,Yes,No internet service,Yes,No,Yes,Month-to-month,No,Credit card (automatic),45.6827820845,651.55,No
id7045,Male,0,No,Yes,29,No,Yes,DSL,No internet service,Yes,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Credit card (automatic),40.3015024676,1359.7,No
id7046,Female,0,Yes,Yes,34,Yes,No,DSL,Yes,No,Yes,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,59.7780621973,1752.55,No
id7047,Male,0,No,No,37,Yes,Yes,DSL,Yes,No,Yes,No internet service,No,Yes,Month-to-month,Yes,Electronic check,58.3927438567,541.9,No
id7049,Female,1,No,No,31,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,No internet service,No,Two year,No,Bank transfer (automatic),87.3228958804,845.6,No
id7050,Male,0,No,No,52,Yes,Yes,No,Yes,No,No internet service,No,No internet service,Yes,Two year,Yes,Mailed check,30.2370715421,4447.55,No
id7051,Male,0,Yes,No,32,Yes,No,Fiber optic,No internet service,No,Yes,Yes,Yes,No internet service,One year,No,Electronic check,64.3328555376,303.15,No
id7052,Male,0,Yes,No,41,Yes,Yes,Fiber optic,No internet service,No,No,No,No,No,Month-to-month,No,Mailed check,53.1233230425,1529.2,No
id7053,Male,0,No,No,28,Yes,No,Fiber optic,Yes,No,Yes,No internet service,Yes,No internet service,One year,Yes,Bank transfer (automatic),62.4966086974,2201.75,No
id7054,Female,0,Yes,No,8,Yes,Yes,No,No,Yes,Yes,No internet service,No internet service,No,Two year,Yes,Mailed check,53.6454005642,3442.15,No
id7055,Male,0,No,No,20,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),51.2688850886,560.6,No
id7056,Female,1,No,Yes,56,Yes,Yes,Fiber optic,No internet service,No internet service,No,No,No,Yes,Month-to-month,Yes,Electronic check,51.4466633833,805.1,No
id7057,Female,1,Yes,Yes,37,Yes,Yes,No,No,No internet service,Yes,Yes,No,No internet service,Two year,No,Bank transfer (automatic),60.7444217484,6766.95,No
id7058,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),39.8636148958,3673.15,No
id7059,Male,0,Yes,Yes,27,Yes,No,DSL,Yes,No,No internet service,Yes,No internet service,No internet service,One year,No,Bank transfer (automatic),24.8980962673,2688.85,No
id7060,Male,0,Yes,Yes,38,Yes,No,DSL,No,No,No,No internet service,Yes,No internet service,Month-to-month,Yes,Mailed check,69.2267615979,140.4,No
id7061,Female,0,No,Yes,10,Yes,Yes,Fiber optic,No,No internet service,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),68.7732158237,701.05,Yes
id7062,Male,0,Yes,Yes,38,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Credit card (automatic),60.0783521756,1099.6,No
id7063,Female,0,No,Yes,10,Yes,No phone service,DSL,Yes,No,No,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),71.6672835413,3474.45,No
id7064,Female,0,Yes,No,29,Yes,No,DSL,Yes,No,Yes,No internet service,Yes,No internet service,Two year,Yes,Credit card (automatic),71.5788103903,94.55,No
id7065,Male,1,Yes,No,67,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),66.7986899479,215.2,No
id7066,Male,0,No,Yes,45,No,No,DSL,No internet service,Yes,No internet service,No,Yes,No,Month-to-month,No,Electronic check,61.2140955984,5774.55,No
id7067,Female,0,Yes,Yes,21,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.8608977742,617.65,No
id7068,Female,0,Yes,Yes,23,Yes,No,DSL,Yes,No internet service,Yes,Yes,No,No,One year,No,Mailed check,72.3000975483,1060.6,No
id7069,Female,1,No,No,17,Yes,Yes,DSL,No internet service,No,No internet service,Yes,No,No internet service,One year,No,Mailed check,71.4405517729,7679.65,No
id7070,Female,0,No,Yes,49,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,96.3478699454,492.0,No
id7071,Female,1,Yes,Yes,48,Yes,No,DSL,No internet service,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,53.4594556632,681.4,No
id7072,Male,0,No,No,35,Yes,Yes,Fiber optic,No,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,69.9644295786,1732.6,No
id7073,Female,0,Yes,No,27,Yes,No phone service,No,No,No,No,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,70.6273222058,74.9,No
