CustomerID,City,State,Rating,Country
id7044,nyc,new york,9,United States
id7045,stockton,california,5,United States
id7046,moscow,yukon territory,5,Russian Federation
id7047,porto,vngaia,9,Portugal
id7048,farnborough,hants,8,United Kingdom
id7049,santa monica,california,10,United States
id7050,washington,dc,3,United States
id7051,timmins,ontario,2,Canada
id7052,germantown,tennessee,10,United States
id7053,albacete,wisconsin,10,Spain
id7054,melbourne,victoria,3,Australia
id7055,fort bragg,california,6,United States
id7056,barcelona,barcelona,5,Spain
id7057,mediapolis,iowa,5,United States
id7058,calgary,alberta,6,Canada
id7059,albuquerque,new mexico,9,United States
id7060,chesapeake,virginia,6,United States
id7061,rio de janeiro,rio de janeiro,8,Brazil
id7062,weston,Unknown,3,Unknown
id7063,langhorne,pennsylvania,5,United States
id7064,ferrol  spain,alabama,6,Spain
id7065,erfurt,thueringen,9,Germany
id7066,philadelphia,pennsylvania,5,United States
id7067,cologne,nrw,8,Germany
id7068,oakland,california,7,United States
id7069,bellevue,washington,3,United States
id7070,chicago,illinois,3,United States
id7071,freiburg,badenwuerttemberg,2,Germany
id7072,cuernavaca,alabama,1,Mexico
id7073,anchorage,alaska,9,United States
id7074,shanghai,Unknown,2,China
id7075,portland,oregon,2,United States
id7076,costa mesa,california,1,United States
id7077,london,england,7,United Kingdom
id7078,grafton,wisconsin,2,United States
id7079,montreal,quebec,4,Canada
id7080,san sebastian,Unknown,8,Spain
id7081,viterbo,lazio,2,Italy
id7082,cary,north carolina,4,United States
id7083,tonawanda,new york,10,United States
id7084,santee,california,3,United States
id7085,appleton,wisconsin,6,United States
id7086,mxico,mxico city,9,Brazil
id7087,black mountain,north carolina,5,United States
id7088,berlin,Unknown,9,Germany
id7089,heidelberg,badenwuerttemberg,2,Germany
id7090,vicenza,veneto,7,Italy
id7091,chicago,illinois,4,United States
id7092,rome,rome,7,Italy
id7093,london,england,3,United Kingdom
id7094,renton,washington,5,United States
id7095,braunschweig,niedersachsen,7,Germany
id7096,tacoma,washington,4,United States
id7097,eubank,kentucky,4,United States
id7098,calgary,alberta,6,Canada
id7099,cheyenne,wyoming,2,United States
id7100,roma,lazio,1,Italy
id7101,edmonton,alberta,9,Canada
id7102,asheville,north carolina,10,United States
id7103,trieste,friuli venezia giulia,3,Italy
id7104,winfield,alabama,3,United States
id7105,kennewick,washington,10,United States
id7106,nyack,new york,9,United States
id7107,lyon,rhone,2,France
id7108,Unknown,Unknown,5,Australia
id7109,warman,saskatchewan,4,Canada
id7110,framingham,massachusetts,4,United States
id7111,montreal,quebec,9,Canada
id7112,vancouver,british columbia,8,Canada
id7113,rochester,new york,9,United States
id7114,toronto,ontario,3,Canada
id7115,gloucester,england,1,United Kingdom
id7116,wentzville,missouri,6,United States
id7117,amsterdam,Unknown,8,Netherlands
id7118,long beach,california,8,United States
id7119,charleston,south carolina,3,United States
id7120,vancouver,british columbia,2,Canada
id7121,oakland,california,7,United States
id7122,ottawa,ontario,6,Canada
id7123,etobicoke,ontario,6,Canada
id7124,santa cruz,california,9,United States
id7125,del mar,california,3,United States
id7126,eugene,oregon,5,United States
id7127,san diago,california,5,United States
id7128,london,england,6,United Kingdom
id7129,los angeles,california,7,United States
id7130,richardson,texas,3,United States
id7131,fayetteville,georgia,9,United States
id7132,plano,texas,10,United States
id7133,powhatan,virginia,1,United States
id7134,torontonewmarket,Unknown,6,Unknown
id7135,castellar del valles,barcelona,3,Spain
id7136,eden,wisconsin,10,United States
id7137,tehran,tehran,1,Iraq
id7138,grand island,new york,4,United States
id7139,helsinki,alaska,7,Finland
id7140,mechanicsburg,pennsylvania,2,United States
id7141,pukekohe,auckland,2,New Zealand
id7142,franktown,colorado,9,United States
id7143,madrid,Unknown,3,Spain
id7144,nagpur,idaho,10,India
id7145,barcelona,Unknown,10,Spain
id7146,litchfield park,arizona,2,United States
id7147,foxboro,massachusetts,10,United States
id7148,hull,england,8,United Kingdom
id7149,rome,georgia,7,United States
id7150,lethbridge,alberta,9,Canada
id7151,claremore,oklahoma,8,United States
id7152,muncie,indiana,9,United States
id7153,peoira,illinois,2,United States
id7154,avintes,vn gaia,7,Portugal
id7155,mexico city,df,3,Mexico
id7156,san francisco,california,1,United States
id7157,ligonier,pennsylvania,9,United States
id7158,canton,ohio,5,United States
id7159,burien,washington,6,United States
id7160,ann arbor,michigan,9,United States
id7161,kronberg,hessen,7,Ghana
id7162,huntington,vermont,7,United States
id7163,villeneuve dascq,nord,9,France
id7164,rochester,minnesota,3,United States
id7165,charlotte,north carolina,10,United States
id7166,ann arbor,michigan,4,United States
id7167,papillion,nebraska,8,United States
id7168,lansing,michigan,6,United States
id7169,eindhoven,noordbrabant,3,Netherlands
id7170,geneva,ge,8,Switzerland
id7171,allison park,pennsylvania,1,United States
id7172,bloomington,minnesota,3,United States
id7173,roma,lazio,4,Italy
id7174,chapel hill,north carolina,4,United States
id7175,silver spring,maryland,6,United States
id7176,jacksonville,florida,6,United States
id7177,canberra,australian capital territory,10,Australia
id7178,berkshire,new york,8,United States
id7179,sacramento,california,8,United States
id7180,vancouver,british columbia,7,Canada
id7181,santa,california,2,United States
id7182,baltimore,maryland,1,United States
id7183,kappelrodeck,badenwuerttemberg,3,Germany
id7184,darien,new york,2,United States
id7185,derby,kansas,10,United States
id7186,san francisco,california,6,United States
id7187,cape girardeau,missouri,9,United States
id7188,inverness,scotland,7,United Kingdom
id7189,la,california,3,United States
id7190,west haverstraw,new york,3,United States
id7191,essex,england,9,United Kingdom
id7192,ljubljana,Unknown,8,Slovenia
id7193,mashhad,islam,5,"Iran, Islamic Republic of"
id7194,darwin,northern territory,1,Australia
id7195,enschede,overijssel,1,Netherlands
id7196,lille,nord of france,1,France
id7197,saskatoon,saskatchewan,5,Canada
id7198,lion,abruzzo,9,Peru
id7199,sarajevo,Unknown,7,Bosnia and Herzegovina
id7200,legnano,lombardia,6,Italy
id7201,nufringen,badenwuerttemberg,10,Germany
id7202,plymouth,minnesota,3,United States
id7203,almada,Unknown,7,Portugal
id7204,lisboa,lisboa,7,Portugal
id7205,newark,delaware,2,United States
id7206,carlsbad,california,7,Viet Nam
id7207,tuxtla gutierrez,chiapas,2,Mexico
id7208,olympia,washington,1,United States
id7209,bacchus marsh,victoria,4,Australia
id7210,helena,montana,2,United States
id7211,sunnyvale,california,10,United States
id7212,arlington,virginia,2,United States
id7213,roswell,georgia,3,United States
id7214,ita,so paulo,6,Brazil
id7215,rio de janeiro,rio de janeiro,4,Brazil
id7216,ames,iowa,5,United States
id7217,kandy,central,3,Sri Lanka
id7218,porto,Unknown,2,Portugal
id7219,london,london,4,United Kingdom
id7220,amsterdam,Unknown,9,Netherlands
id7221,rexford,new york,4,United States
id7222,wazirabad,punjab,10,Pakistan
id7223,copenhagen n,Unknown,8,Denmark
id7224,karachi,sindh,9,Pakistan
id7225,buitenpost,frysln,4,Netherlands
id7226,porto,porto,9,Portugal
id7227,seattle,washington,10,United States
id7228,baton rouge,louisiana,8,United States
id7229,jacksonville,north carolina,4,United States
id7230,mcas futenma fpo ap okinawa,Unknown,5,United States
id7231,portland,oregon,5,United States
id7232,blankenberge,Unknown,6,Belgium
id7233,wezembeekoppem,brussels,6,Belgium
id7234,berlin,berlin,4,Germany
id7235,sunnyvale,california,5,United States
id7236,mumbai,maharashtra,2,India
id7237,lake forest,illinois,5,United States
id7238,chandler,arizona,1,United States
id7239,subang jaya,selangor darul ehsan,3,Malaysia
id7240,brantford,ontario,5,Canada
id7241,augsburg,bayern,10,Germany
id7242,austin,texas,3,United States
id7243,aberdeen,scotland,2,United Kingdom
id7244,sharjah,sharjah,6,Unknown
id7245,ottawa,ontario,9,Canada
id7246,charleston,south carolina,2,United States
id7247,turner,oregon,10,United States
id7248,istanbul,victoria,5,Australia
id7249,versailles,ile de france,4,France
id7250,west bend,wisconsin,2,United States
id7251,bremen,bremen,3,Germany
id7252,pj,selangor,5,Malaysia
id7253,albany,new york,2,United States
id7254,lleida,lleida,1,Spain
id7255,manila,Unknown,1,Philippines
id7256,gainesville,florida,1,United States
id7257,longmont,colorado,10,United States
id7258,port alberni,british columbia,8,Canada
id7259,barcelona,georgia,3,Spain
id7260,spencer,massachusetts,6,United States
id7261,hyderabad,alabama,5,India
id7262,bismark,sachsenanhalt,5,Greece
id7263,bogota,bogota,2,Colombia
id7264,palm beach,florida,8,United States
id7265,kingston,massachusetts,6,United States
id7266,wazirabad,punjab,4,Pakistan
id7267,strafford,missouri,10,United States
id7268,elgin,texas,4,United States
id7269,new york,new york,3,United States
id7270,high wycombe,bucks,1,United Kingdom
id7271,ann arbor,michigan,10,United States
id7272,delhi,delhi,3,India
id7273,ny,new york,4,United States
id7274,mumbai,maharashtra,3,India
id7275,mumbai,maharashtra,1,India
id7276,tampere,pirkanmaa,3,Finland
id7277,joensuu,Unknown,3,Finland
id7278,oeiras,lisboa,4,Portugal
id7279,s pasadena,california,2,United States
id7280,plymouth,minnesota,2,United States
id7281,guildford,surrey,2,United Kingdom
id7282,fort worth,texas,3,United States
id7283,brisbane,queensland,6,Australia
id7284,auburn,alabama,5,United States
id7285,neuffen,badenwuerttemberg,10,Germany
